Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
ad4ef4e1bfbce826f9920fa4ea26a31aa5fc13d9376379fc75dc7d9269af492e,2018-11,Northamptonshire Police,Northamptonshire Police,-0.896148,52.234731,On or near A508,E01027223,Northampton 025A,Investigation complete; no suspect identified
2009e9145377bf72a15c4b4941c4701c4ae0ff60ae419de0c8ec6dfdddb45617,2018-11,Northamptonshire Police,Northamptonshire Police,-1.074080,52.341665,On or near WESTFIELD COURT,E01027027,Daventry 004E,Investigation complete; no suspect identified
e72cb64dc77624c694dfbb547f683a308712bfdea53b3108dc0574eb40fe87c8,2018-11,Northamptonshire Police,Northamptonshire Police,-0.715688,52.476122,On or near BALMORAL,E01026968,Corby 006G,Action to be taken by another organisation
83286a6c5501b3f85d00106d80b8d214a9a0079fe18151a96de45a7df7de8f1a,2018-11,Northamptonshire Police,Northamptonshire Police,-0.707433,52.289269,On or near ASKHAM AVENUE,E01027319,Wellingborough 008C,Unable to prosecute suspect
c1c5632084088e3bb209fe1d1dde278584fc9ca0ec1abd0d307f0b321e0c3618,2018-11,Northamptonshire Police,Northamptonshire Police,-0.831270,52.260656,On or near WAYPOST COURT,E01027198,Northampton 007C,Unable to prosecute suspect
b4c5fd5ed84edfa248faaa9391b2c77c80240926ac00897b7843329d9dd94a31,2018-11,Northamptonshire Police,Northamptonshire Police,-0.915723,52.255941,On or near WINDRUSH WAY,E01027242,Northampton 017C,Offender given a caution
7635bfad13d3be585773349d792c044483e0923026c95a4d2db22332e68219a8,2018-11,Northamptonshire Police,Northamptonshire Police,-0.730492,52.491755,On or near BRANKSOME COURT,E01026984,Corby 004E,Investigation complete; no suspect identified
d35be2932893dce01d43e3c293c8323ee0cc61d6303fd372bb5c2ba609803f40,2018-11,Northamptonshire Police,Northamptonshire Police,-0.801808,52.252395,On or near LOWER ECTON LANE,E01027140,Northampton 011A,Suspect charged
0033dd365e4e928b87ff289e53580aed4c612db0973e0c3d3b3811e99e09564a,2018-11,Northamptonshire Police,Northamptonshire Police,-1.167916,52.256567,On or near LADY CROFT,E01026992,Daventry 007D,Suspect charged
ff3d77414412ac7ebd8e2bcd33be382895448ebfab9425e69c57b5a601e04dee,2018-11,Northamptonshire Police,Northamptonshire Police,-0.897924,52.271816,On or near BLAKESLEY CLOSE,E01027147,Northampton 003D,Suspect charged
a14f744353734eaba897bfb63216b836e39949df03d6c26400c97f3d83113d08,2018-11,Northamptonshire Police,Northamptonshire Police,-0.545629,52.352239,On or near Sports/Recreation Area,E01027057,East Northamptonshire 004A,Suspect charged
c38b7c46d292b1dd979974c2fa32df5d196801d67fc253a9e7162115a2b7d803,2018-11,Northamptonshire Police,Northamptonshire Police,-0.829741,52.435455,On or near WINDSOR AVENUE,E01027094,Kettering 002B,Suspect charged
80ff4da871966785c9a2397b8767cb28b5375f636bb7df7143d4cc25dbb036f2,2018-11,Northamptonshire Police,Northamptonshire Police,-0.991666,52.126114,On or near SOLLY'S WAY,E01027299,South Northamptonshire 005C,Unable to prosecute suspect
e02867feceebdad353664d6f12885d456562697618e0ab9516ae0e22c84d0a81,2018-11,Northamptonshire Police,Northamptonshire Police,-0.870390,52.238209,On or near Sports/Recreation Area,E01027257,Northampton 025D,Unable to prosecute suspect
465350d50ae66a1fed75a89bfccc113a80f86f6111ec03cc1b1dfa698e161617,2018-11,Northamptonshire Police,Northamptonshire Police,-0.705292,52.288266,On or near CHAMBERLAIN AVENUE,E01027318,Wellingborough 008B,Suspect charged
949e3df857e679572428d8b28f4edc34665c621e1ea101331eb342b215fd910a,2018-11,Northamptonshire Police,Northamptonshire Police,-0.713401,52.305949,On or near MINERVA WAY,E01027310,Wellingborough 007B,Investigation complete; no suspect identified
242ce71b8b3116d1a8c69038a02b998a333db64360bf13e02ee95d5d3dbf41ac,2018-11,Northamptonshire Police,Northamptonshire Police,-0.722463,52.402806,On or near CLUB STREET,E01027105,Kettering 006A,Suspect charged
734b13f6bcc263e4c1af4ec3371985ad85aaa73aa2ce27d3a450ac9e573a3d95,2018-11,Northamptonshire Police,Northamptonshire Police,-0.897219,52.235847,On or near BRIDGE STREET,E01032979,Northampton 021F,Unable to prosecute suspect
9899664e30a0f9360e516f602e168a318d6ee53c523fa6f88877fe6d03e37289,2018-11,Northamptonshire Police,Northamptonshire Police,-1.163951,52.257852,On or near Supermarket,E01026992,Daventry 007D,Suspect charged
987ae515c3dd4dd3ecb8c139c8268f4567402157401f423894b60641f38bd86a,2018-11,Northamptonshire Police,Northamptonshire Police,-0.878773,52.250157,On or near ABINGTON GROVE,E01027184,Northampton 015A,Suspect charged
7992434a9ada613e861d1681f887b005c9ba1c090e01ce59b35871d4f791a273,2018-11,Northamptonshire Police,Northamptonshire Police,-0.890575,52.239201,On or near ABINGTON STREET,E01027223,Northampton 025A,Unable to prosecute suspect
3afa73a27bd433328d91b5863890b55084359fc054f83b3cc6bc202a00eb0005,2018-11,Northamptonshire Police,Northamptonshire Police,-0.704284,52.408677,On or near CORA ROAD,E01027127,Kettering 005D,Unable to prosecute suspect
84439c7df4d5500eaf4034c24b542bf6e738f2d0d6d5859b6b6de4980d1ec11b,2018-11,Northamptonshire Police,Northamptonshire Police,-1.276221,52.132491,On or near ARBURY BANKS,E01027305,South Northamptonshire 006E,Suspect charged
132cc000778b6a3fa5705c92465faaec9f997049ef0f98f8105f05dc1b86dd94,2018-11,Northamptonshire Police,Northamptonshire Police,-0.937533,52.235857,On or near Parking Area,E01032975,Northampton 029E,Unable to prosecute suspect
9275a809f248ddd5076aeff259b0bda01ac9a34acad9fee4f0d3762154f4ee5b,2018-11,Northamptonshire Police,Northamptonshire Police,-0.885812,52.241089,On or near RAGLAN STREET,E01027228,Northampton 023D,Unable to prosecute suspect
f58f2b9028d8e8f0f93cc1649478e5e9b553caf61f77f7beba3e097f4ea52aa5,2018-11,Northamptonshire Police,Northamptonshire Police,-0.858203,52.252010,On or near MERCIA GARDENS,E01027170,Northampton 012C,Unable to prosecute suspect
089edbcd482b6df1704c53d37a44e2a0d56087b2976ebe32a75a0a6d4dadb89d,2018-11,Northamptonshire Police,Northamptonshire Police,-0.826175,52.339850,On or near BAKERS LANE,E01027023,Daventry 005E,Unable to prosecute suspect
5017ed4a98a32388c52c96d73192a34ed8cefb2ac3b2611a1849ddb1f68615e4,2018-11,Northamptonshire Police,Northamptonshire Police,-0.694238,52.302736,On or near CHURCH STREET,E01027349,Wellingborough 006A,Suspect charged
2bbadb259c1ded1dd3762d011adbebc6b9af246453dbb7efb992d20514b4cd4d,2018-11,Northamptonshire Police,Northamptonshire Police,-0.957822,52.427267,On or near NASEBY ROAD,E01027005,Daventry 001A,Suspect charged
0b4bd5711fa8e3a423fd8ba78d5db9b5873d85c1ca0e8bf19482fa7308db741d,2018-11,Northamptonshire Police,Northamptonshire Police,-1.073023,52.344489,On or near PARNELL CLOSE,E01027027,Daventry 004E,Investigation complete; no suspect identified
b6a73e3c00414e08b20e2f9cf4a270be2071fe2b1901aa1c857fd50ed9fd2aee,2018-11,Northamptonshire Police,Northamptonshire Police,-0.875049,52.451016,On or near GREEN LANE,E01027129,Kettering 001C,Unable to prosecute suspect
f4da2e3bd706c1837f7bdd0f7384f33087351eb9790dc942c59e4a941510087c,2018-11,Northamptonshire Police,Northamptonshire Police,-1.156910,52.249000,On or near Petrol Station,E01026991,Daventry 007C,Suspect charged
17b55d9a21927c5906c71d7cb9c61bfe672dc5cab9a795ed0997dc531e87bb82,2018-11,Northamptonshire Police,Northamptonshire Police,-1.156910,52.249000,On or near Petrol Station,E01026991,Daventry 007C,Suspect charged
e32f4edf86f406c600e55e90d43bca77e6f456bef549b3f08be954e6d184dbf6,2018-11,Northamptonshire Police,Northamptonshire Police,-0.691675,52.301602,On or near Supermarket,E01027349,Wellingborough 006A,Suspect charged
c31086bf0441139ab3f80a6ca98fec436d40d413f54259bbc81557720de9513a,2018-11,Northamptonshire Police,Northamptonshire Police,-0.902155,52.247086,On or near SALISBURY STREET,E01027154,Northampton 021D,Unable to prosecute suspect
02d0c969e9bfe60e752303674492e7e8bb5c7360a1ace7af88e589ae71c0626a,2018-11,Northamptonshire Police,Northamptonshire Police,-1.100876,52.236953,On or near A45,E01027024,Daventry 009C,Suspect charged
7aa9ba26a5d8334cbb5844291fae0e33ef6c0bf2a9c9d532a5a98f2a3af82a45,2018-11,Northamptonshire Police,Northamptonshire Police,-0.592131,52.287025,On or near ESSEX ROAD,E01027059,East Northamptonshire 009B,Suspect charged
5017ed4a98a32388c52c96d73192a34ed8cefb2ac3b2611a1849ddb1f68615e4,2018-11,Northamptonshire Police,Northamptonshire Police,-0.694238,52.302736,On or near CHURCH STREET,E01027349,Wellingborough 006A,Suspect charged
5017ed4a98a32388c52c96d73192a34ed8cefb2ac3b2611a1849ddb1f68615e4,2018-11,Northamptonshire Police,Northamptonshire Police,-0.694238,52.302736,On or near CHURCH STREET,E01027349,Wellingborough 006A,Suspect charged
c333caa34a318d0e3b24548b2d113c3c182268614657a2998a182e10a4d729fe,2018-11,Northamptonshire Police,Northamptonshire Police,-0.820082,52.271460,On or near Pedestrian Subway,E01027246,Northampton 005E,Suspect charged
018834805103957b9e1bb1a9b65ad033a082d0321f9ffae6193f8d5459bff3b0,2018-11,Northamptonshire Police,Northamptonshire Police,-0.914918,52.239688,On or near WEEDON ROAD,E01027151,Northampton 024A,Suspect charged
ec0e7e14217dcdc946e59e9bcd61260d333dc7ffcbd7a00a7edaebd85488b924,2018-11,Northamptonshire Police,Northamptonshire Police,-0.712566,52.473113,On or near DUMBLE CLOSE,E01026963,Corby 009A,Suspect charged
c333caa34a318d0e3b24548b2d113c3c182268614657a2998a182e10a4d729fe,2018-11,Northamptonshire Police,Northamptonshire Police,-0.820082,52.271460,On or near Pedestrian Subway,E01027246,Northampton 005E,Suspect charged
c333caa34a318d0e3b24548b2d113c3c182268614657a2998a182e10a4d729fe,2018-11,Northamptonshire Police,Northamptonshire Police,-0.820082,52.271460,On or near Pedestrian Subway,E01027246,Northampton 005E,Suspect charged
6c44fe20593aae733c972ab5252c273c21012b2975cbcafa631c6f92fb8dbe93,2018-11,Northamptonshire Police,Northamptonshire Police,-0.686410,52.497603,On or near TELFORDS LANE,E01026958,Corby 003B,Suspect charged
d408399ebb5120d2febbcdc6bc5ed51adad927fc6839a37aef28cfbbb722dfa2,2018-11,Northamptonshire Police,Northamptonshire Police,-0.695916,52.301010,On or near Supermarket,E01027349,Wellingborough 006A,Suspect charged
d1b8882e591a7c2182277f619bdda3dd703325a93dcf5a0379b266b4fd4290ab,2018-11,Northamptonshire Police,Northamptonshire Police,-0.840815,52.272213,On or near FARM FIELD COURT,E01027248,Northampton 004D,Unable to prosecute suspect
b01355b2c8f06919a17edbf5e9e1e502605b680ab8c36ff31b067d20db56baaf,2018-11,Northamptonshire Police,Northamptonshire Police,-0.910689,52.270029,On or near PARTRIDGE CLOSE,E01027143,Northampton 003A,Investigation complete; no suspect identified
746aa4faf00a0e0756f1abe3c2aaf2dd7ce8b155033e7926ff1b44b72647d83c,2018-11,Northamptonshire Police,Northamptonshire Police,-0.885753,52.238769,On or near THENFORD STREET,E01027228,Northampton 023D,Unable to prosecute suspect
99e451a65b7f59f3f580db5cc55f02d942b84b6ad07e2bd0db5ded8ab2e69234,2018-11,Northamptonshire Police,Northamptonshire Police,-0.877404,52.241720,On or near MELBOURNE STREET,E01027224,Northampton 025B,Unable to prosecute suspect
1d4758fe164b046413063db7e4264c2031b5d80b3e19efffabd2182625d56328,2018-11,Northamptonshire Police,Northamptonshire Police,-0.877404,52.241720,On or near MELBOURNE STREET,E01027224,Northampton 025B,Unable to prosecute suspect
2ed13472892f6ea1debbddcc51d741f7e9dfed6df4303f7bf810a3e072d807a3,2018-11,Northamptonshire Police,Northamptonshire Police,-1.148184,52.254143,On or near BEATTY CLOSE,E01027013,Daventry 008D,Unable to prosecute suspect
ed0d95344840e7c96cb5389f501c32901205694773f578bae691be6925974011,2018-11,Northamptonshire Police,Northamptonshire Police,-0.803121,52.422242,On or near HIGH STREET,E01027124,Kettering 003B,Unable to prosecute suspect
9f720b7c98debf95d2b774f648ef4b56c221d681d44df690d04116e47c777f2f,2018-11,Northamptonshire Police,Northamptonshire Police,-0.711402,52.473648,On or near BOURNE CLOSE,E01026963,Corby 009A,Unable to prosecute suspect
89e211d44ec97be4bb2c5f233082656b8b41b6c1d69338dc051d80721dd1842e,2018-11,Northamptonshire Police,Northamptonshire Police,-0.726627,52.489394,On or near WINCANTON COURT,E01026984,Corby 004E,Unable to prosecute suspect
7954f210c2d2cfb97aa16e0186360af4d7797655c4cc841e7aa9d3f376d050ab,2018-11,Northamptonshire Police,Northamptonshire Police,-0.944073,52.210175,On or near Motorway Service Area,E01027254,Northampton 029D,Suspect charged
f80d38f1a41aa422eb55e9a67c42abce2d621dc523a76c45add683d168e03d4d,2018-11,Northamptonshire Police,Northamptonshire Police,-0.886553,52.245430,On or near SHAKESPEARE ROAD,E01027225,Northampton 023B,Suspect charged
16070231d6a9e5c9e7f4f9dcd3be2c2aa4b73feb7779b1d848345ae96856a154,2018-11,Northamptonshire Police,Northamptonshire Police,-0.897097,52.253755,On or near CRANBROOKE ROAD,E01027191,Northampton 008B,Suspect charged
60ac5b31982ad9331e42df65a69c26bc0961d02f08525cafcbadc9e5fce686a6,2018-11,Northamptonshire Police,Northamptonshire Police,-0.878215,52.246726,On or near DERBY MEWS,E01027132,Northampton 022A,Suspect charged
875ddd81d511e50d76e80fcb11d7c7c9896f8b55da53ffa434fb6c0c29c1b86f,2018-11,Northamptonshire Police,Northamptonshire Police,-0.883986,52.239166,On or near CYRIL STREET,E01027228,Northampton 023D,Suspect charged
3113d92da9a85d2f21cdbf2e0df4a1b5d949757ab85a447e9734296d4d815c89,2018-11,Northamptonshire Police,Northamptonshire Police,-0.727894,52.397443,On or near MARKET PLACE,E01027110,Kettering 007B,Unable to prosecute suspect
9e6ee50c20a156f9fa742e8cc766ec0d33c95ef9675aecefa5902dc61945cd25,2018-11,Northamptonshire Police,Northamptonshire Police,-0.853037,52.261481,On or near THIRLMERE AVENUE,E01027168,Northampton 012A,Unable to prosecute suspect
ae494400fd07bd245c3d3182280bb9c1a2b7df659a88f347e5d9bd28eb29594f,2018-11,Northamptonshire Police,Northamptonshire Police,-0.871282,52.219220,On or near RHOSILI ROAD,E01027202,Northampton 028D,Offender given a drugs possession warning
624687e7e01f85ea22510b077d4f2ff45314778f1ba255b49ccae66f5b7490cc,2018-11,Northamptonshire Police,Northamptonshire Police,-0.853037,52.261481,On or near THIRLMERE AVENUE,E01027168,Northampton 012A,Unable to prosecute suspect
9c9b048852d27a017ece283a648e56e235852ad9bf7488b86923deb80774fc92,2018-11,Northamptonshire Police,Northamptonshire Police,-0.853037,52.261481,On or near THIRLMERE AVENUE,E01027168,Northampton 012A,Unable to prosecute suspect
ac325b2c28a4829057e53e763fb517ea27a431fda72fb5352db498882773d680,2018-11,Northamptonshire Police,Northamptonshire Police,-0.708734,52.385664,On or near Theme/Adventure Park,E01027130,Kettering 009C,Suspect charged
4e14f10113289f0e3a82e7fefca05f0c633ca7906324c92c596f4a434c9524bf,2018-11,Northamptonshire Police,Northamptonshire Police,-0.664749,52.338621,On or near MACKWORTH DRIVE,E01027326,Wellingborough 001A,Suspect charged
ee2e1a113f17b3694447c166bb5ee79dae6dd328359b19debbc3239919d763bd,2018-11,Northamptonshire Police,Northamptonshire Police,-0.808710,52.272541,On or near PILTON CLOSE,E01027178,Northampton 005C,Unable to prosecute suspect
122febfee4acaaf5aa263da69a0cbc5ebee82c7417c3a083c5a759782120f5f6,2018-11,Northamptonshire Police,Northamptonshire Police,-1.079287,52.299406,On or near WINDSOR CLOSE,E01027015,Daventry 004B,Unable to prosecute suspect
ec6235a49b26c5998c306aa26625a3cbc913ea176f30b7c8b4fd3ef0e496ca9a,2018-11,Northamptonshire Police,Northamptonshire Police,-0.887140,52.202028,On or near SUNNYSIDE,E01027204,Northampton 031B,Unable to prosecute suspect
f3a9d707476ad6fc032ab0778df031a29363d91e772b638a9924b063ac7e72aa,2018-11,Northamptonshire Police,Northamptonshire Police,-0.915034,52.240939,On or near Supermarket,E01027151,Northampton 024A,Unable to prosecute suspect
5548971982b685f2a8a5cf3eb49fe4671c530442220267736fe8106f4c14e622,2018-11,Northamptonshire Police,Northamptonshire Police,-0.830948,52.277367,On or near BRACKEN FIELD SQUARE,E01027245,Northampton 004B,Investigation complete; no suspect identified
f1c66bd7e078cb88b1c832ff0ffaebfd8d058ae6f2f85748c7d23c80f7016297,2018-11,Northamptonshire Police,Northamptonshire Police,-0.521927,52.399884,On or near SISSINGHURST DRIVE,E01027075,East Northamptonshire 003C,Suspect charged
920532dd7000381692543edc8fa05cfffd444b5e4dcee3403cb12d3f3c7339ed,2018-11,Northamptonshire Police,Northamptonshire Police,-0.920011,52.223542,On or near PICCADILLY CLOSE,E01027235,Northampton 026C,Unable to prosecute suspect
82f350e337505811aeb081e4138629f8498198a05ee4e9c6251b7dd7beae80f2,2018-11,Northamptonshire Police,Northamptonshire Police,-0.992695,52.240467,On or near HALL CLOSE,E01027286,South Northamptonshire 001D,Unable to prosecute suspect
f19f7159f6eb3346bcb2f5f01a7f181f2f1d40fa838eb246b6acb0b0d38f442a,2018-11,Northamptonshire Police,Northamptonshire Police,-0.899520,52.258273,On or near OSBORNE ROAD,E01027191,Northampton 008B,Formal action is not in the public interest
fc48a95e42ee9ae91c6b273f655685c5248d773533bba6c4fac5cdaacd483291,2018-11,Northamptonshire Police,Northamptonshire Police,-1.140580,52.347418,On or near BUCKNILLS LANE,E01027006,Daventry 003E,Unable to prosecute suspect
8d0eed5f8f06cfd228898f1718458c2f5bfcd8a354322bb395fbd3fa114ae6e6,2018-11,Northamptonshire Police,Northamptonshire Police,-0.596383,52.290699,On or near Parking Area,E01027059,East Northamptonshire 009B,Unable to prosecute suspect
6efa9c27ec91d20a8009c1e8c341762f959b8655788345c5a7b37ac7bbdc2f9a,2018-11,Northamptonshire Police,Northamptonshire Police,-0.921389,52.228868,On or near KNAPHILL CRESCENT,E01027233,Northampton 026A,Suspect charged
96969dcf1588caaafb29c772c890a99d577d041f4a7148e1eeb5f18b4f7f377f,2018-11,Northamptonshire Police,Northamptonshire Police,-1.065630,52.227113,On or near Petrol Station,E01027287,South Northamptonshire 001E,Suspect charged
98f76f36e48dd8b200cde7e01773e19d915fae8798efeb2b0e8ce4e9c7ba4523,2018-11,Northamptonshire Police,Northamptonshire Police,-0.670833,52.472912,On or near BRECON CLOSE,E01026977,Corby 003C,Suspect charged
decd1f575e0899c4b2cd94dfd4ff9a828108ce03f3907dee63f7d29aaf2ba1c8,2018-11,Northamptonshire Police,Northamptonshire Police,-0.829741,52.435455,On or near WINDSOR AVENUE,E01027094,Kettering 002B,Suspect charged
b46fd4646a7d2deaf7f6e48cb0c2543e4f0c99250fd166d2794c152e636c6ee9,2018-11,Northamptonshire Police,Northamptonshire Police,-0.917075,52.244931,On or near LEWIS ROAD,E01027239,Northampton 017A,Unable to prosecute suspect
c04ec8175a96d3e861680bd70af48096a3e85961dcb614d27d870bde9ed637d9,2018-11,Northamptonshire Police,Northamptonshire Police,-0.725784,52.399263,On or near ANGEL YARD,E01027110,Kettering 007B,Unable to prosecute suspect
5f94e029a0786359cf7651afd87d1b56b1118c1153ed14663b98b9b21f8a7daa,2018-11,Northamptonshire Police,Northamptonshire Police,-1.247705,52.326464,On or near Prison,E01032968,Daventry 003F,Investigation complete; no suspect identified
faae2ccaba67bb81e2add25fae29674514eeba6d0ce52bdbafc1e7c8171b3635,2018-11,Northamptonshire Police,Northamptonshire Police,-1.247705,52.326464,On or near Prison,E01032968,Daventry 003F,Investigation complete; no suspect identified
ccd2ebfd4d7daf546cb8393c52e0eb717b7792c725ed0b6075ca6de6201dafd3,2018-11,Northamptonshire Police,Northamptonshire Police,-0.884654,52.242885,On or near KETTERING ROAD,E01027226,Northampton 025C,Unable to prosecute suspect
8f660b37640e5936bb7d1ba6a46ada0c9bb3ea1fe555298d9e21b03512e67dec,2018-11,Northamptonshire Police,Northamptonshire Police,-0.672782,52.254594,On or near THRIFT STREET,E01027354,Wellingborough 010E,Unable to prosecute suspect
ae6855063addc44820d3aa9587c7910eaee4db90b36d00f3f193ea1e038458ac,2018-11,Northamptonshire Police,Northamptonshire Police,-0.526406,52.400893,On or near CLARE DRIVE,E01027075,East Northamptonshire 003C,Suspect charged
ff3602a44a611c36e038ae1849cc89518e7e5fa2994b0c09f046226677cbf599,2018-11,Northamptonshire Police,Northamptonshire Police,-0.597914,52.290978,On or near HIGH STREET,E01027060,East Northamptonshire 009C,Unable to prosecute suspect
f669655c85af9e6f9a36a00f66dfc10b54539920f6d912efc2d705a78be2e69e,2018-11,Northamptonshire Police,Northamptonshire Police,-0.786536,52.336914,On or near A43,E01027023,Daventry 005E,Investigation complete; no suspect identified
566d1cb6b2e804a2fffb80c209671fc6e4bdd8cca1309cee48bfa95754672e1f,2018-11,Northamptonshire Police,Northamptonshire Police,-0.691675,52.301602,On or near Supermarket,E01027349,Wellingborough 006A,Suspect charged
733b8831858bd7dd7080748e5a9584ecdd6c9800e9a5c563dd4709d5fcfe3ee5,2018-11,Northamptonshire Police,Northamptonshire Police,-0.828960,52.249916,On or near SLADESWELL COURT,E01027139,Northampton 016C,Suspect charged
b61307e097bc6da98a9257f5e3a88a3f6efa30e26a61680ed5b11401b1382ddd,2018-11,Northamptonshire Police,Northamptonshire Police,-0.913726,52.246501,On or near TINTERN AVENUE,E01027242,Northampton 017C,Suspect charged
ce7ceabc36587caadf48b1124009aa055390233ed0daac487bcca46a34536bbd,2018-11,Northamptonshire Police,Northamptonshire Police,-1.247705,52.326464,On or near Prison,E01032968,Daventry 003F,Unable to prosecute suspect
2d5e92534efbf2309dd3a2f61f0f0c2c011b2c0388848d3c00a44bbb98b20ab7,2018-11,Northamptonshire Police,Northamptonshire Police,-0.682714,52.307526,On or near LEYS ROAD,E01027316,Wellingborough 004D,Unable to prosecute suspect
5eb3325e0b650ffbb56971fb62aaf88cbf1e0e11586642a721a94bc9cce0d122,2018-11,Northamptonshire Police,Northamptonshire Police,-1.247705,52.326464,On or near Prison,E01032968,Daventry 003F,Unable to prosecute suspect
adfed4c66d60c8c5353e83a9421c47685ec64bea477b78194b17b7dd7753bac5,2018-11,Northamptonshire Police,Northamptonshire Police,-0.892796,52.244697,On or near OAKLEY STREET,E01027155,Northampton 023A,Unable to prosecute suspect
6695eefac8ee23ee71eae534a2ee8c0548b8246cae62bc8b640a17b9d6f2b53c,2018-11,Northamptonshire Police,Northamptonshire Police,-0.895607,52.237657,On or near ABINGTON STREET,E01032979,Northampton 021F,Unable to prosecute suspect
7f265fefc61ae78d3dadba9529ce880a85e129e4c4ab39cdddae785d796e4566,2018-11,Northamptonshire Police,Northamptonshire Police,-0.897743,52.251334,On or near MONARCH ROAD,E01027185,Northampton 015B,Unable to prosecute suspect
a2615c0af712f191788c40eb0eccf37d8852f6228edf3e89e38d3efb8786b18f,2018-11,Northamptonshire Police,Northamptonshire Police,-0.828493,52.263182,On or near SOUTH PRIORS COURT,E01027196,Northampton 007A,Offender given a caution
84979b5e93861466c178c838555d89bf2f0b0664b40250f9c1cecaefb3997930,2018-11,Northamptonshire Police,Northamptonshire Police,-0.842543,52.272284,On or near GREAT HOLME COURT,E01027248,Northampton 004D,Suspect charged
0c84eb211f0616892c511d6509355bb6f8a6651854f32dcc556d093cfea8414f,2018-11,Northamptonshire Police,Northamptonshire Police,-0.716586,52.303341,On or near KILNWAY,E01027310,Wellingborough 007B,Unable to prosecute suspect
bc30ed80e963a6b8334d2f21b46513e41fde8132f4aa23cf2f7328e53004b6c8,2018-11,Northamptonshire Police,Northamptonshire Police,-0.716586,52.303341,On or near KILNWAY,E01027310,Wellingborough 007B,Unable to prosecute suspect
74cebb344976017bc3a5f7c1bd07920e1d930139dce58fba3dd89cec75cc94ec,2018-11,Northamptonshire Police,Northamptonshire Police,-0.610457,52.294525,On or near CHESTNUT CLOSE,E01027063,East Northamptonshire 008C,Investigation complete; no suspect identified
bbf31e9a798f24482f7281d433afc8ac4224d005f1ab762896d594c28a4c5d89,2018-11,Northamptonshire Police,Northamptonshire Police,-0.722465,52.382379,On or near HIGHFIELD CRESCENT,E01027131,Kettering 009D,Unable to prosecute suspect
13c5b9d46bb5c65d5c66b111075a15b2db7469e012c305c101dcce7b218204a6,2018-11,Northamptonshire Police,Northamptonshire Police,-1.266562,52.070315,On or near HORTON DRIVE,E01027293,South Northamptonshire 006C,Unable to prosecute suspect
bbb0ed6ae5df695253522e25cd43d6daabff52c4c7899630e49cc673326096be,2018-11,Northamptonshire Police,Northamptonshire Police,-0.708527,52.476305,On or near WICK CLOSE,E01026963,Corby 009A,Unable to prosecute suspect
dc94146015d691c6766129ca72b6b61dd52092fa7a02152027bd796bf18dc353,2018-11,Northamptonshire Police,Northamptonshire Police,-0.856750,52.218478,On or near REYNOLDSTON CLOSE,E01027202,Northampton 028D,Suspect charged
2c5807d65138bea5aaad329cf81eef05b28bee0ee671121ec9c63826348457d9,2018-11,Northamptonshire Police,Northamptonshire Police,-0.691370,52.295530,On or near THE DRIVE,E01027317,Wellingborough 008A,Unable to prosecute suspect
c00a91c718eaa0e03ee827b33020e5c065daa754d6f47841fb68279b43d34436,2018-11,Northamptonshire Police,Northamptonshire Police,-0.938710,52.235031,On or near SKINNER AVENUE,E01032975,Northampton 029E,Suspect charged
6b7637f5b89016e1f17b2dd7c60a43b51b3a6a63e73816f9c81ecc6287ee5812,2018-11,Northamptonshire Police,Northamptonshire Police,-0.899011,52.246895,On or near HESTER STREET,E01027153,Northampton 021C,Suspect charged
e6fb1d9865ea4e08ebb05b9b4381ef3eff1aeaafa0c024470b4e82431ebc8ed5,2018-11,Northamptonshire Police,Northamptonshire Police,-0.694579,52.372400,On or near FARMFIELD CLOSE,E01027084,Kettering 010A,Unable to prosecute suspect
28ffe0adb690d0e18c50f1b4cda0fa75e3b87fcb60adb832241666e4fa4bae97,2018-11,Northamptonshire Police,Northamptonshire Police,-0.893035,52.240384,On or near WELLINGTON STREET,E01027155,Northampton 023A,Suspect charged
94da746e19d1ce322d623200b031c30d438cc5cf62b03ba5e2e5e1ed35ae9f5e,2018-11,Northamptonshire Police,Northamptonshire Police,-0.706981,52.295720,On or near HENSHAW ROAD,E01027351,Wellingborough 006C,Unable to prosecute suspect
53ff167dfea7a01d86f02b1c5ed1bca6e8abe01a456c869109876784f56ef442,2018-11,Northamptonshire Police,Northamptonshire Police,-0.724578,52.391644,On or near HAWTHORN ROAD,E01027113,Kettering 007C,Suspect charged
8331f90f7dcffe6cd458f56febeab449dc1d9ea1583beaa2064c263047cfd270,2018-11,Northamptonshire Police,Northamptonshire Police,-0.897094,52.234982,On or near BRIDGE STREET,E01027223,Northampton 025A,Investigation complete; no suspect identified
80ad2782b61f9d2bc9d5264878da783c285bb6c03cc9ff4a9ffc7cb5c3d8fd9d,2018-11,Northamptonshire Police,Northamptonshire Police,-0.528222,52.347636,On or near MIDLAND ROAD,E01027053,East Northamptonshire 005C,Unable to prosecute suspect
8dc381f6cf068a572cd9019ef0dd0d00dfe4e726f1eaf5fe037b5ce35d34f63d,2018-11,Northamptonshire Police,Northamptonshire Police,-1.150791,52.253406,On or near EVANS CLOSE,E01027013,Daventry 008D,Unable to prosecute suspect
82bb870b2bce96ed889418c4703488af14fd3eeed20331a82df7f52b826ef2e4,2018-11,Northamptonshire Police,Northamptonshire Police,-0.955793,52.261472,On or near SHALE END,E01027208,Northampton 014A,Unable to prosecute suspect
